soil_ph,fertility_ec,humidity,sunlight,soil_temp,soil_moisture,label,suitability_probability,suitable
6.3,525,74,3200,29.1,88,Ampalaya,0.8423,True
6.7,530,74,3000,29.5,92,Ampalaya,0.9065,True
5.5,455,85,1150,27.1,85,Avocado,0.9052,True
6.1,415,79,1750,28.3,83,Avocado,0.7823,True
6.2,440,80,1450,28.1,88,Avocado,0.8897,True
5.9,430,82,1500,27.0,80,Avocado,0.7369,True
5.7,425,85,1100,26.9,81,Avocado,0.981,True
5.5,410,86,1300,26.7,82,Avocado,0.8731,True
5.6,460,84,1000,27.5,85,Avocado,0.8798,True
6.0,450,83,950,27.8,86,Avocado,0.7909,True
4.0,632,62,8077,29.5,99,Bamboo,0.2712,False
5.4,470,83,1300,27.9,90,Banana,0.2361,False
4.0,771,79,8280,28.8,99,Banana,0.3416,False
4.5,810,66,9337,29.3,99,Banana,0.3748,False
5.6,440,85,900,26.9,85,Black Pepper,0.6062,True
5.6,440,85,900,26.9,85,Cacao,0.5285,False
5.7,400,86,850,27.0,87,Cacao,0.99,True
5.6,425,88,900,26.8,85,Cacao,0.5696,False
5.5,410,89,800,26.6,89,Cacao,0.975,True
5.8,430,84,1000,27.3,88,Cacao,0.5667,False
5.9,405,85,950,27.1,86,Cacao,0.7041,True
5.5,415,87,750,26.5,84,Cacao,0.33,False
5.7,420,83,1050,27.2,85,Cacao,0.4774,False
6.0,517,88,1094,28.5,99,Cassava,0.5161,False
5.5,450,86,700,26.5,87,Calamansi,0.5121,False
6.5,475,80,1215,27.0,99,Coconut,0.2654,False
6.2,480,82,1500,27.5,90,Coconut,0.1127,False
6.3,460,78,1800,28.2,90,Coconut,0.3588,False
6.1,510,83,1400,28.0,98,Coconut,0.8175,True
5.7,445,84,980,27.2,86,Coconut,0.717,True
6.0,355,70,12571,33.9,99,Coconut,0.97,True
6.2,480,82,1500,27.5,90,Maize,0.5667,False
5.3,520,77,2800,28.8,86,Maize,0.4727,False
6.0,515,78,2750,28.4,89,Maize,0.3868,False
6.5,475,80,1215,27.0,99,Coffee,0.7856,True
5.5,450,86,700,26.5,87,Coffee,0.265,False
5.5,485,76,2400,28.9,87,Eggplant,0.6152,True
6.8,405,79,1900,28.0,84,Forage Grass,0.1813,False
6.3,460,78,1800,28.2,90,Ginger,0.961,True
5.5,455,85,1150,27.1,85,Ginger,0.4692,False
6.4,500,80,1900,27.7,93,Ginger,0.6517,True
6.2,530,79,2400,28.2,91,Ginger,0.02,False
6.0,525,81,2000,27.8,94,Ginger,0.6947,True
6.1,515,77,2500,28.4,88,Ginger,0.6433,True
6.5,490,80,1800,28.0,92,Ginger,0.1667,False
6.3,505,78,2200,27.5,90,Ginger,0.6133,True
5.9,485,83,1500,26.9,89,Ginger,0.6917,True
6.8,405,79,1900,28.0,84,Ipil Ipil,0.163,False
5.7,470,84,1050,27.4,89,Jackfruit,0.176,False
6.0,517,88,1094,28.5,99,Mango,0.5535,False
6.0,400,80,1000,27.9,80,Mango,0.9991,True
5.8,490,85,850,26.8,85,Lanzones,0.5667,False
5.9,505,84,1100,27.3,88,Lanzones,0.894,True
3.5,898,67,4316,30.7,99,Lanzones,0.9667,True
5.8,490,85,850,26.8,85,Rambutan,0.4454,False
5.9,505,84,1100,27.3,88,Rambutan,0.6335,True
6.5,745,81,2090,27.8,99,Rambutan,0.87,True
5.9,455,84,1050,27.0,85,Rambutan,0.8705,True
6.0,435,83,1150,27.4,83,Rambutan,0.9311,True
5.8,460,85,950,27.2,87,Rambutan,0.6885,True
5.6,450,86,1000,26.8,84,Rambutan,0.9359,True
6.1,465,82,1250,27.5,86,Rambutan,0.6023,True
5.5,445,88,800,26.6,81,Rambutan,0.9867,True
5.7,440,87,900,26.7,82,Rambutan,0.8885,True
6.8,550,75,2500,29.2,95,Rice,0.2818,False
6.8,550,75,2500,29.2,95,Banana,0.2188,False
6.4,495,81,1650,27.8,92,Banana,0.3037,False
5.4,470,83,1300,27.9,90,Banana,0.2361,False
6.0,435,79,2000,28.1,82,Calamansi,0.5013,False
4.5,359,70,15839,34.6,99,Kamoteng Baging,0.9867,True
6.2,410,78,2200,28.4,83,Katuray,0.5293,False
5.7,470,84,1050,27.4,89,Kulo,0.4326,False
5.7,420,81,950,28.0,80,Lipote,0.0661,False
6.1,390,76,1850,28.3,78,Orchid,0.1724,False
6.0,435,79,2000,28.1,82,Papaya,0.5211,False
6.6,535,75,2600,28.7,94,Pechay,0.5353,False
5.3,520,77,2800,28.8,86,Pineapple,0.0991,False
5.4,500,77,2900,28.6,88,Pineapple,0.9733,True
4.0,594,73,39100,34.1,99,Pineapple,0.97,True
5.5,440,76,21062,31.5,99,Pineapple,0.9867,True
9.0,624,72,43700,33.5,99,Pineapple,0.9533,True
5.7,420,81,950,28.0,80,Eggplant,0.7437,True
5.5,485,76,2400,28.9,87,Eggplant,0.6152,True
6.7,530,74,3000,29.5,92,Ampalaya,0.9065,True
5.5,485,76,2400,28.9,87,Sili Labuyo,0.44,False
6.7,530,74,3000,29.5,92,Squash,0.2081,False
6.3,525,74,3200,29.1,88,Squash,0.1524,False
6.4,495,81,1650,27.8,92,Sweet Potato,0.5859,False
6.0,515,78,2750,28.4,89,Sweet Sorghum,0.4451,False
6.9,540,76,2700,29.0,93,String Bean,0.033,False
6.5,465,82,1200,27.6,95,Gabi,1.0,True
6.5,485,82,1200,27.5,98,Gabi,0.7167,True
6.7,470,84,1000,27.1,96,Gabi,0.9367,True
6.4,475,80,1300,28.3,97,Gabi,0.0367,False
6.7,460,85,1100,27.3,99,Gabi,0.8733,True
6.3,505,83,1400,27.6,94,Gabi,0.6914,True
6.8,480,80,1600,28.0,96,Gabi,0.3467,False
6.6,495,81,1500,27.9,95,Gabi,0.72,True
6.9,540,76,2700,29.0,93,Upo,0.7964,True
5.4,470,83,1300,27.9,90,Ube,0.754,True
